name,loaning_club,player_value_in_moment_of_transfer,league,year
Oliver Burke,FC Millwall,"5,00 mln €",GB2,2021
Marcus Forss,Hull City,"4,50 mln €",GB2,2021
Andre Gray,Queens Park Rangers,"4,00 mln €",GB2,2021
Tahith Chong,Birmingham City,"4,00 mln €",GB2,2021
Josh Maja,Stoke City,"4,00 mln €",GB2,2021
Folarin Balogun,FC Middlesbrough,"4,00 mln €",GB2,2021
James Léa Siliki,FC Middlesbrough,"4,00 mln €",GB2,2021
James Garner,Nottingham Forest,"4,00 mln €",GB2,2021
Deyovaisio Zeefuik,Blackburn Rovers,"3,50 mln €",GB2,2021
Liam Moore,Stoke City,"3,50 mln €",GB2,2021
Conor Hourihane,Sheffield United,"3,50 mln €",GB2,2021
Sam McCallum,Queens Park Rangers,"3,50 mln €",GB2,2021
Domingos Quina,FC Fulham,"3,00 mln €",GB2,2021
Keinan Davis,Nottingham Forest,"3,00 mln €",GB2,2021
Taylor Harwood-Bellis,Stoke City,"3,00 mln €",GB2,2021
Danny Drinkwater,FC Reading,"3,00 mln €",GB2,2021
Allahyar Sayyadmanesh,Hull City,"3,00 mln €",GB2,2021
Robin Olsen,Sheffield United,"3,00 mln €",GB2,2021
Philip Zinckernagel,Nottingham Forest,"3,00 mln €",GB2,2021
Josh Murphy,Preston North End,"3,00 mln €",GB2,2021
Tino Anjorin,Huddersfield Town,"3,00 mln €",GB2,2021
Ben Davies,Sheffield United,"3,00 mln €",GB2,2021
Max Lowe,Nottingham Forest,"3,00 mln €",GB2,2021
Sheyi Ojo,FC Millwall,"3,00 mln €",GB2,2021
Leo Östigard,Stoke City,"3,00 mln €",GB2,2021
Matt Clarke,West Bromwich Albion,"3,00 mln €",GB2,2021
Abdul-Rahman Baba,FC Reading,"2,50 mln €",GB2,2021
Domingos Quina,FC Barnsley,"2,50 mln €",GB2,2021
Jan Paul van Hecke,Blackburn Rovers,"2,20 mln €",GB2,2021
Ryan Giles,Blackburn Rovers,"2,00 mln €",GB2,2021
Onel Hernández,FC Middlesbrough,"2,00 mln €",GB2,2021
Romaine Sawyers,Stoke City,"2,00 mln €",GB2,2021
Jake Clarke-Salter,Coventry City,"2,00 mln €",GB2,2021
Djed Spence,Nottingham Forest,"2,00 mln €",GB2,2021
Teden Mengi,Birmingham City,"2,00 mln €",GB2,2021
Jordan Hugill,West Bromwich Albion,"2,00 mln €",GB2,2021
Amine Bassi,FC Barnsley,"1,80 mln €",GB2,2021
Ethan Laird,Swansea City,"1,80 mln €",GB2,2021
Jordan Hugill,Cardiff City,"1,80 mln €",GB2,2021
Benik Afobe,FC Millwall,"1,80 mln €",GB2,2021
Ian Poveda,Blackburn Rovers,"1,50 mln €",GB2,2021
Onel Hernández,Birmingham City,"1,50 mln €",GB2,2021
Ryan Giles,Cardiff City,"1,30 mln €",GB2,2021
Morgan Rogers,AFC Bournemouth,"1,30 mln €",GB2,2021
Luke Freeman,FC Millwall,"1,20 mln €",GB2,2021
Jordi Osei-Tutu,Nottingham Forest,"1,20 mln €",GB2,2021
Hayden Coulson,Peterborough United,"1,20 mln €",GB2,2021
Daniel Iversen,Preston North End,"1,20 mln €",GB2,2021
Charlie Goode,Sheffield United,"1,00 mln €",GB2,2021
Matt Smith,Hull City,"1,00 mln €",GB2,2021
Cody Drameh,Cardiff City,"1,00 mln €",GB2,2021
Tom Ince,FC Reading,"1,00 mln €",GB2,2021
Di'Shon Bernard,Hull City,"1,00 mln €",GB2,2021
Tommy Doyle,Cardiff City,"1,00 mln €",GB2,2021
Rémy Vita,FC Barnsley,"1,00 mln €",GB2,2021
Jayson Molumby,West Bromwich Albion,"1,00 mln €",GB2,2021
Cyrus Christie,Swansea City,"1,00 mln €",GB2,2021
Dujon Sterling,FC Blackpool,900 tys. €,GB2,2021
Uche Ikpeazu,Cardiff City,800 tys. €,GB2,2021
Leif Davis,AFC Bournemouth,800 tys. €,GB2,2021
Jed Steer,Luton Town,800 tys. €,GB2,2021
Alfie Doughty,Cardiff City,700 tys. €,GB2,2021
Lyle Taylor,Birmingham City,700 tys. €,GB2,2021
Juan Familia-Castillo,Birmingham City,700 tys. €,GB2,2021
Tom Dele-Bashiru,FC Reading,700 tys. €,GB2,2021
Matt Ingram,Luton Town,600 tys. €,GB2,2021
Danel Sinani,Huddersfield Town,550 tys. €,GB2,2021
Charlie Kirk,FC Blackpool,500 tys. €,GB2,2021
Jaden Philogene,Stoke City,500 tys. €,GB2,2021
Cameron Archer,Preston North End,500 tys. €,GB2,2021
Bali Mumba,Peterborough United,500 tys. €,GB2,2021
Karl Hein,FC Reading,450 tys. €,GB2,2021
Claudio Gomes,FC Barnsley,450 tys. €,GB2,2021
Liam Walsh,Hull City,400 tys. €,GB2,2021
Taylor Richards,Birmingham City,400 tys. €,GB2,2021
Finley Burns,Swansea City,300 tys. €,GB2,2021
Dion Sanderson,Queens Park Rangers,300 tys. €,GB2,2021
Nathan Baxter,Hull City,300 tys. €,GB2,2021
Steven Benda,Peterborough United,250 tys. €,GB2,2021
Reece Brown,Peterborough United,250 tys. €,GB2,2021
Mipo Odubeko,Huddersfield Town,250 tys. €,GB2,2021
Alex Palmer,Luton Town,250 tys. €,GB2,2021
Conor Coventry,Peterborough United,200 tys. €,GB2,2021
Dion Sanderson,Birmingham City,150 tys. €,GB2,2021
Reda Khadra,Blackburn Rovers,150 tys. €,GB2,2021
Leighton Clarkson,Blackburn Rovers,150 tys. €,GB2,2021
Matija Sarkic,Birmingham City,100 tys. €,GB2,2021
Ryan Wintle,FC Blackpool,50 tys. €,GB2,2021
Ryan Longman,Hull City,-,GB2,2021
Owen Dale,FC Blackpool,-,GB2,2021
Luke Plange,Derby County,-,GB2,2021
Callum Morton,Peterborough United,-,GB2,2021
Ian Maatsen,Coventry City,-,GB2,2021
Levi Colwill,Huddersfield Town,-,GB2,2021
Tyreece John-Jules,FC Blackpool,-,GB2,2021
Daniel Ballard,FC Millwall,-,GB2,2021
Jack Clarke,AFC Sunderland,"5,00 mln €",GB3,2021
Troy Parrott,Milton Keynes Dons,"3,60 mln €",GB3,2021
Bersant Celina,Ipswich Town,"3,00 mln €",GB3,2021
Rekeem Harper,Crewe Alexandra,"2,50 mln €",GB3,2021
Harlee Dean,Sheffield Wednesday,"2,00 mln €",GB3,2021
Macauley Bonne,Ipswich Town,"2,00 mln €",GB3,2021
Harry Arter,Charlton Athletic,"2,00 mln €",GB3,2021
Mahlon Romeo,FC Portsmouth,"2,00 mln €",GB3,2021
Lewis Wing,Sheffield Wednesday,"2,00 mln €",GB3,2021
Leon Dajaku,AFC Sunderland,"1,80 mln €",GB3,2021
Steven Sessegnon,Plymouth Argyle,"1,50 mln €",GB3,2021
Sam Cosgrove,Shrewsbury Town,"1,50 mln €",GB3,2021
Sam Cosgrove,AFC Wimbledon,"1,50 mln €",GB3,2021
Jonathan Leko,Charlton Athletic,"1,50 mln €",GB3,2021
Jordan Storey,Sheffield Wednesday,"1,50 mln €",GB3,2021
Dan N'Lundulu,Lincoln City,"1,50 mln €",GB3,2021
Dan N'Lundulu,Cheltenham Town,"1,50 mln €",GB3,2021
Jordi Osei-Tutu,Rotherham United,"1,20 mln €",GB3,2021
Pontus Dahlberg,FC Gillingham,"1,20 mln €",GB3,2021
Will Grigg,Rotherham United,"1,20 mln €",GB3,2021
Pontus Dahlberg,Doncaster Rovers,"1,20 mln €",GB3,2021
Hayden Coulson,Ipswich Town,"1,20 mln €",GB3,2021
Frederik Alves,AFC Sunderland,"1,00 mln €",GB3,2021
Josh Martin,Milton Keynes Dons,"1,00 mln €",GB3,2021
Daniel Jebbison,Burton Albion,"1,00 mln €",GB3,2021
Bailey Peacock-Farrell,Sheffield Wednesday,"1,00 mln €",GB3,2021
Josh Martin,Doncaster Rovers,"1,00 mln €",GB3,2021
Louie Barry,Ipswich Town,"1,00 mln €",GB3,2021
Morgan Whittaker,Lincoln City,"1,00 mln €",GB3,2021
Theo Corbeanu,Milton Keynes Dons,"1,00 mln €",GB3,2021
Tyreeq Bakinson,Ipswich Town,"1,00 mln €",GB3,2021
Aaron Ramsey,Cheltenham Town,"1,00 mln €",GB3,2021
Ethan Galbraith,Doncaster Rovers,900 tys. €,GB3,2021
Gavin Whyte,Oxford United,800 tys. €,GB3,2021
Dominic Thompson,Ipswich Town,800 tys. €,GB3,2021
Christian Walton,Ipswich Town,800 tys. €,GB3,2021
George Hirst,FC Portsmouth,800 tys. €,GB3,2021
Tyreece John-Jules,Sheffield Wednesday,700 tys. €,GB3,2021
Tom Bayliss,Wigan Athletic,700 tys. €,GB3,2021
Herbie Kane,Oxford United,700 tys. €,GB3,2021
Glen Rea,Wigan Athletic,600 tys. €,GB3,2021
Xavier Amaechi,Bolton Wanderers,600 tys. €,GB3,2021
Elliot Lee,Charlton Athletic,600 tys. €,GB3,2021
Ron-Thorben Hoffmann,AFC Sunderland,600 tys. €,GB3,2021
Florian Kamberi,Sheffield Wednesday,550 tys. €,GB3,2021
Tyler Walker,FC Portsmouth,500 tys. €,GB3,2021
Nathan Broadhead,AFC Sunderland,500 tys. €,GB3,2021
Theo Corbeanu,Sheffield Wednesday,500 tys. €,GB3,2021
Lewis Gibson,Sheffield Wednesday,500 tys. €,GB3,2021
Miguel Azeez,FC Portsmouth,500 tys. €,GB3,2021
Rarmani Edmonds-Green,Rotherham United,500 tys. €,GB3,2021
Juan Familia-Castillo,Charlton Athletic,500 tys. €,GB3,2021
Jacob Maddox,Burton Albion,500 tys. €,GB3,2021
Josh Griffiths,Lincoln City,500 tys. €,GB3,2021
Jacob Bedeau,FC Morecambe,450 tys. €,GB3,2021
Harry Chapman,Burton Albion,400 tys. €,GB3,2021
Ciaron Brown,Oxford United,400 tys. €,GB3,2021
Harry Chapman,Burton Albion,400 tys. €,GB3,2021
Ethan Robson,Milton Keynes Dons,400 tys. €,GB3,2021
Josh Harrop,Fleetwood Town,400 tys. €,GB3,2021
Lewis Fiorini,Lincoln City,400 tys. €,GB3,2021
Trevor Carson,FC Morecambe,350 tys. €,GB3,2021
Mipo Odubeko,Doncaster Rovers,300 tys. €,GB3,2021
Jordan Thorniley,Oxford United,300 tys. €,GB3,2021
Jamie Cumming,Milton Keynes Dons,300 tys. €,GB3,2021
Jamie Cumming,FC Gillingham,300 tys. €,GB3,2021
Tomas Holy,Cambridge United,300 tys. €,GB3,2021
Liam Cullen,Lincoln City,300 tys. €,GB3,2021
Conor Masterson,Cambridge United,300 tys. €,GB3,2021
Ellery Balcombe,Burton Albion,300 tys. €,GB3,2021
Joel Mumbongo,Accrington Stanley,300 tys. €,GB3,2021
Conor Coventry,Milton Keynes Dons,300 tys. €,GB3,2021
Conor Masterson,FC Gillingham,300 tys. €,GB3,2021
Romoney Crichlow,Plymouth Argyle,300 tys. €,GB3,2021
Matej Kovar,Burton Albion,250 tys. €,GB3,2021
Hayden Carter,FC Portsmouth,250 tys. €,GB3,2021
Mattie Pollock,Cheltenham Town,250 tys. €,GB3,2021
Kayne Ramsay,Crewe Alexandra,250 tys. €,GB3,2021
Ryan Broom,Plymouth Argyle,250 tys. €,GB3,2021
Jordon Garrick,Plymouth Argyle,250 tys. €,GB3,2021
Kaine Kesler-Hayden,Milton Keynes Dons,250 tys. €,GB3,2021
Peter Kioso,Milton Keynes Dons,200 tys. €,GB3,2021
Rodrigo Vilca,Doncaster Rovers,200 tys. €,GB3,2021
Connal Trueman,Oxford United,200 tys. €,GB3,2021
Daniel Butterworth,Fleetwood Town,200 tys. €,GB3,2021
Charlie Kelman,FC Gillingham,200 tys. €,GB3,2021
Olamide Shodipo,Sheffield Wednesday,200 tys. €,GB3,2021
Dapo Mebude,AFC Wimbledon,200 tys. €,GB3,2021
Charlie Kelman,FC Gillingham,200 tys. €,GB3,2021
Nile John,Charlton Athletic,200 tys. €,GB3,2021
Daniel Adshead,FC Gillingham,200 tys. €,GB3,2021
Max Watters,Milton Keynes Dons,150 tys. €,GB3,2021
Curtis Tilt,Wigan Athletic,150 tys. €,GB3,2021
Jensen Weir,Cambridge United,150 tys. €,GB3,2021
Marcel Lewis,Accrington Stanley,150 tys. €,GB3,2021
Khanya Leshabela,Shrewsbury Town,100 tys. €,GB3,2021
Thomas Dickson-Peters,FC Gillingham,100 tys. €,GB3,2021
Aaron Pressley,AFC Wimbledon,100 tys. €,GB3,2021
Christian Norton,Cheltenham Town,100 tys. €,GB3,2021
Akin Famewo,Charlton Athletic,100 tys. €,GB3,2021
Zak Jules,Fleetwood Town,100 tys. €,GB3,2021
Daniel Phillips,FC Gillingham,100 tys. €,GB3,2021
Kyle Joseph,Cheltenham Town,100 tys. €,GB3,2021
Jake Eastwood,FC Portsmouth,100 tys. €,GB3,2021
Jökull Andrésson,FC Morecambe,100 tys. €,GB3,2021
Adam Phillips,FC Morecambe,75 tys. €,GB3,2021
Josh McPake,FC Morecambe,75 tys. €,GB3,2021
Matthew Bondswell,Shrewsbury Town,50 tys. €,GB3,2021
Christian Saydee,Burton Albion,50 tys. €,GB3,2021
Gassan Ahadme,FC Portsmouth,50 tys. €,GB3,2021
Saikou Janneh,Shrewsbury Town,-,GB3,2021
Callum Jones,FC Morecambe,-,GB3,2021
Tomas Kalinauskas,AFC Wimbledon,-,GB3,2021
Kell Watts,Wigan Athletic,-,GB3,2021
Callum Johnson,Fleetwood Town,-,GB3,2021
Alfie McCalmont,FC Morecambe,-,GB3,2021
Marlon Fossey,Bolton Wanderers,-,GB3,2021
Taylor Perry,Cheltenham Town,-,GB3,2021
Archie Mair,Lincoln City,-,GB3,2021
Callum Wright,Cheltenham Town,-,GB3,2021
Ryan Edmondson,Fleetwood Town,-,GB3,2021
Tyrese Fornah,Shrewsbury Town,-,GB3,2021
Sam Hughes,Burton Albion,-,GB3,2021
Tiago Cukur,Doncaster Rovers,-,GB3,2021
James Trafford,Accrington Stanley,-,GB3,2021
Jovan Malcolm,Accrington Stanley,-,GB3,2021
Jack Young,Wycombe Wanderers,-,GB3,2021
Gavin Bazunu,FC Portsmouth,-,GB3,2021
Yeboah Amankwah,Accrington Stanley,-,GB3,2021
Lorent Tolaj,Cambridge United,-,GB3,2021
Kion Etete,Cheltenham Town,-,GB3,2021
Ryan Alebiosu,Crewe Alexandra,-,GB3,2021
Henry Lawrence,AFC Wimbledon,-,GB3,2021
Ben Jackson,Doncaster Rovers,-,GB3,2021
J'Neil Bennett,Crewe Alexandra,-,GB3,2021
Terry Ablade,AFC Wimbledon,-,GB3,2021
Nathan Holland,Oxford United,-,GB3,2021
Ben Knight,Crewe Alexandra,-,GB3,2021
Callum Morton,Fleetwood Town,-,GB3,2021
Jamie Soule,Cheltenham Town,-,GB3,2021
Mason Burstow,Charlton Athletic,-,GB3,2021
Sam Sherring,Cambridge United,-,GB3,2021
Sam Sherring,Accrington Stanley,-,GB3,2021
Scott Robertson,Crewe Alexandra,-,GB3,2021
Matt Smith,Doncaster Rovers,-,GB3,2021
Callum Doyle,AFC Sunderland,-,GB3,2021
James Trafford,Bolton Wanderers,-,GB3,2021
Brooke Norton-Cuffy,Lincoln City,-,GB3,2021
Matty Longstaff,Mansfield Town,"2,50 mln €",GB4,2021
Dynel Simeu,Carlisle United,"1,00 mln €",GB4,2021
Louie Barry,Swindon Town,"1,00 mln €",GB4,2021
Luke Matheson,Scunthorpe United,600 tys. €,GB4,2021
Jamie Murphy,Mansfield Town,550 tys. €,GB4,2021
Brandon Cooper,Swindon Town,500 tys. €,GB4,2021
Luke Thomas,Bristol Rovers,500 tys. €,GB4,2021
Stephen Kelly,Salford City,400 tys. €,GB4,2021
Tom Elliott,Bradford City,400 tys. €,GB4,2021
Jamie Walker,Bradford City,400 tys. €,GB4,2021
Paul Glatzel,Tranmere Rovers,350 tys. €,GB4,2021
Josh Eppiah,Northampton Town,350 tys. €,GB4,2021
Michael Bostwick,FC Stevenage,325 tys. €,GB4,2021
Christy Pym,FC Stevenage,300 tys. €,GB4,2021
Josh Pask,Newport County,300 tys. €,GB4,2021
Nathan Bishop,Mansfield Town,300 tys. €,GB4,2021
Frank Fielding,Salford City,300 tys. €,GB4,2021
Padraig Amond,Exeter City,300 tys. €,GB4,2021
Tomas Holy,Port Vale FC,300 tys. €,GB4,2021
Romoney Crichlow,Swindon Town,300 tys. €,GB4,2021
Kasey McAteer,Forest Green Rovers,300 tys. €,GB4,2021
Cameron Dawson,Exeter City,300 tys. €,GB4,2021
Dion Pereira,Bradford City,300 tys. €,GB4,2021
Laurie Walker,Oldham Athletic,250 tys. €,GB4,2021
Frank Nouble,Leyton Orient,250 tys. €,GB4,2021
Matty Daly,Hartlepool United,250 tys. €,GB4,2021
Stephen Walker,Tranmere Rovers,250 tys. €,GB4,2021
Ross Doohan,Tranmere Rovers,250 tys. €,GB4,2021
Anthony Driscoll-Glennon,AFC Barrow,250 tys. €,GB4,2021
Paul Downing,AFC Rochdale,250 tys. €,GB4,2021
Nathan Delfouneso,Bradford City,250 tys. €,GB4,2021
Caleb Watts,Crawley Town,250 tys. €,GB4,2021
Tyler Magloire,Northampton Town,250 tys. €,GB4,2021
Myles Kenlock,Colchester United,250 tys. €,GB4,2021
Bryn Morris,Hartlepool United,250 tys. €,GB4,2021
Kaine Kesler-Hayden,Swindon Town,250 tys. €,GB4,2021
Connor Ripley,Salford City,250 tys. €,GB4,2021
Sylvester Jasper,Colchester United,250 tys. €,GB4,2021
Matty Daly,Bradford City,250 tys. €,GB4,2021
Faysal Bettache,Oldham Athletic,200 tys. €,GB4,2021
George Broadbent,AFC Rochdale,200 tys. €,GB4,2021
Kieran Phillips,FC Walsall,200 tys. €,GB4,2021
Aaron Amadi-Holloway,AFC Barrow,200 tys. €,GB4,2021
Kieran Phillips,Exeter City,200 tys. €,GB4,2021
Tyler Burey,Hartlepool United,200 tys. €,GB4,2021
Elliot Anderson,Bristol Rovers,200 tys. €,GB4,2021
Alex Hunt,Oldham Athletic,200 tys. €,GB4,2021
Richard Nartey,Mansfield Town,200 tys. €,GB4,2021
Blondy Nna Noukeu,Crawley Town,150 tys. €,GB4,2021
Oliver Cooper,Newport County,150 tys. €,GB4,2021
Reece Devine,FC Walsall,150 tys. €,GB4,2021
Brad Young,Carlisle United,150 tys. €,GB4,2021
Dominic Revan,Northampton Town,150 tys. €,GB4,2021
Nicholas Bilokapic,Hartlepool United,150 tys. €,GB4,2021
Idris Kanu,Northampton Town,150 tys. €,GB4,2021
Jeriel Dorsett,AFC Rochdale,150 tys. €,GB4,2021
Jack Aitchison,Forest Green Rovers,100 tys. €,GB4,2021
Brahima Diarra,Harrogate Town,100 tys. €,GB4,2021
Jake Hull,Hartlepool United,100 tys. €,GB4,2021
Bez Lubala,Northampton Town,100 tys. €,GB4,2021
Isaac Hutchinson,Crawley Town,100 tys. €,GB4,2021
George Miller,FC Walsall,100 tys. €,GB4,2021
Festus Arthur,AFC Barrow,100 tys. €,GB4,2021
Zach Jeacock,Salford City,100 tys. €,GB4,2021
Isaac Fletcher,Hartlepool United,100 tys. €,GB4,2021
Max Melbourne,FC Stevenage,100 tys. €,GB4,2021
Ryan Delaney,Scunthorpe United,100 tys. €,GB4,2021
Tom Billson,Scunthorpe United,100 tys. €,GB4,2021
Jordan Flores,Northampton Town,100 tys. €,GB4,2021
Owura Edwards,Exeter City,100 tys. €,GB4,2021
Joe Tomlinson,Swindon Town,100 tys. €,GB4,2021
Alex Gilbert,Swindon Town,100 tys. €,GB4,2021
George Ray,Leyton Orient,100 tys. €,GB4,2021
Hayden Hackney,Scunthorpe United,100 tys. €,GB4,2021
Owura Edwards,Colchester United,100 tys. €,GB4,2021
Jake Turner,Colchester United,100 tys. €,GB4,2021
Josh Austerfield,Harrogate Town,100 tys. €,GB4,2021
Amrit Bansal-McNulty,Crawley Town,100 tys. €,GB4,2021
Lee O'Connor,Tranmere Rovers,100 tys. €,GB4,2021
Josh McPake,Tranmere Rovers,75 tys. €,GB4,2021
Isaac Olaofe,Sutton United,75 tys. €,GB4,2021
Kian Harratt,Port Vale FC,50 tys. €,GB4,2021
Chanka Zimba,Northampton Town,50 tys. €,GB4,2021
Alex Bass,Bradford City,50 tys. €,GB4,2021
Will Forrester,Mansfield Town,50 tys. €,GB4,2021
Corrie Ndaba,Salford City,50 tys. €,GB4,2021
Lukas Jensen,Carlisle United,25 tys. €,GB4,2021
Jake O'Brien,Swindon Town,25 tys. €,GB4,2021
Jamie Bowden,Oldham Athletic,-,GB4,2021
Robert Street,Newport County,-,GB4,2021
Josh Hawkes,Tranmere Rovers,-,GB4,2021
Joel Cooper,Port Vale FC,-,GB4,2021
Jake Scrimshaw,Scunthorpe United,-,GB4,2021
Joe White,Hartlepool United,-,GB4,2021
Armando Dobra,Colchester United,-,GB4,2021
James Connolly,Bristol Rovers,-,GB4,2021
Kion Etete,Northampton Town,-,GB4,2021
Dan Moss,Leyton Orient,-,GB4,2021
Tyreik Wright,Colchester United,-,GB4,2021
Timmy Abraham,Newport County,-,GB4,2021
Josh Davison,Swindon Town,-,GB4,2021
Theo Archibald,Leyton Orient,-,GB4,2021
Joseph Anang,FC Stevenage,-,GB4,2021
Sam Hornby,Colchester United,-,GB4,2021
Jake Cain,Newport County,-,GB4,2021
Edward Jones,Hartlepool United,-,GB4,2021
Carl Rushworth,FC Walsall,-,GB4,2021
Will Harris,AFC Barrow,-,GB4,2021
Zain Westbrooke,FC Stevenage,-,GB4,2021
Tyrese Omotoye,Leyton Orient,-,GB4,2021
George Lloyd,Port Vale FC,-,GB4,2021
Jacob Wakeling,AFC Barrow,-,GB4,2021
Rollin Menayese,FC Walsall,-,GB4,2021
Corie Andrews,Colchester United,-,GB4,2021
Josh Andrews,AFC Rochdale,-,GB4,2021
Kieran O'Hara,Scunthorpe United,-,GB4,2021
Sam Burns,Scunthorpe United,-,GB4,2021
Ryan Stirk,Mansfield Town,-,GB4,2021
Offrande Zanzala,Exeter City,-,GB4,2021
Tyrese Shade,FC Walsall,-,GB4,2021
Will Ferry,Crawley Town,-,GB4,2021
D'Mani Mellor,Salford City,-,GB4,2021
Alex Mitchell,Leyton Orient,-,GB4,2021
George Shelvey,Mansfield Town,-,GB4,2021
Calum Kavanagh,Harrogate Town,-,GB4,2021
Andy Smith,Salford City,-,GB4,2021
Harry Wood,Scunthorpe United,-,GB4,2021
Cameron Coxe,Colchester United,-,GB4,2021
Lewis Warrington,Tranmere Rovers,-,GB4,2021
Ryan Edmondson,Port Vale FC,-,GB4,2021
Tyreik Wright,Salford City,-,GB4,2021
Sion Spence,Bristol Rovers,-,GB4,2021
Finn Azaz,Newport County,-,GB4,2021
Jack Diamond,Harrogate Town,-,GB4,2021
Lewis Richards,Harrogate Town,-,GB4,2021
Will Goodwin,Hartlepool United,-,GB4,2021
Rekeil Pyke,Scunthorpe United,-,GB4,2021
Lewis Cass,Port Vale FC,-,GB4,2021
Tyrese Omotoye,Carlisle United,-,GB4,2021
Corey O'Keeffe,AFC Rochdale,-,GB4,2021
Tyrese Sinclair,Scunthorpe United,-,GB4,2021
Mitchell Roberts,Carlisle United,-,GB4,2021
Jonathan Dinzeyi,Carlisle United,-,GB4,2021
Danny Cashman,AFC Rochdale,-,GB4,2021
Connor Taylor,Bristol Rovers,-,GB4,2021
Dennis Politic,Port Vale FC,-,GB4,2021
Bailey Clements,FC Stevenage,-,GB4,2021
Owen Windsor,Carlisle United,-,GB4,2021
Tyreece Simpson,Swindon Town,-,GB4,2021
Rabbi Matondo,Stoke City,"8,00 mln €",GB2,2020
Tomás Esteves,FC Reading,"8,00 mln €",GB2,2020
Oliver Skipp,Norwich City,"7,20 mln €",GB2,2020
Morgan Gibbs-White,Swansea City,"7,20 mln €",GB2,2020
Filip Benkovic,Cardiff City,"7,00 mln €",GB2,2020
Alfie Mawson,Bristol City,"7,00 mln €",GB2,2020
Filip Krovinovic,Nottingham Forest,"6,50 mln €",GB2,2020
Yan Valery,Birmingham City,"6,30 mln €",GB2,2020
Conor Hourihane,Swansea City,"6,00 mln €",GB2,2020
Jack Clarke,Stoke City,"5,40 mln €",GB2,2020
Anthony Gordon,Preston North End,"5,00 mln €",GB2,2020
Anthony Knockaert,Nottingham Forest,"5,00 mln €",GB2,2020
Jordan Morris,Swansea City,"5,00 mln €",GB2,2020
Carel Eiting,Huddersfield Town,"4,50 mln €",GB2,2020
Harvey Elliott,Blackburn Rovers,"4,00 mln €",GB2,2020
Xavi Quintillà,Norwich City,"4,00 mln €",GB2,2020
Angus Gunn,Stoke City,"4,00 mln €",GB2,2020
Troy Parrott,FC Millwall,"3,60 mln €",GB2,2020
Yannick Bolasie,FC Middlesbrough,"3,50 mln €",GB2,2020
James Garner,Nottingham Forest,"3,50 mln €",GB2,2020
Kenneth Zohore,FC Millwall,"3,50 mln €",GB2,2020
Saman Ghoddos,FC Brentford,"3,20 mln €",GB2,2020
Freddie Woodman,Swansea City,"3,20 mln €",GB2,2020
Charlie Austin,Queens Park Rangers,"3,20 mln €",GB2,2020
Paul Arriola,Swansea City,"3,00 mln €",GB2,2020
Aden Flint,Sheffield Wednesday,"3,00 mln €",GB2,2020
Daryl Dike,FC Barnsley,"3,00 mln €",GB2,2020
Shane Long,AFC Bournemouth,"2,80 mln €",GB2,2020
Tom Trybull,Blackburn Rovers,"2,80 mln €",GB2,2020
Patrick Roberts,FC Middlesbrough,"2,80 mln €",GB2,2020
Luke Freeman,Nottingham Forest,"2,80 mln €",GB2,2020
Tom Ince,Luton Town,"2,80 mln €",GB2,2020
Jake Clarke-Salter,Birmingham City,"2,80 mln €",GB2,2020
Marc Guéhi,Swansea City,"2,70 mln €",GB2,2020
James Garner,FC Watford,"2,70 mln €",GB2,2020
Patrick Roberts,Derby County,"2,50 mln €",GB2,2020
Leo Östigard,Coventry City,"2,50 mln €",GB2,2020
Jack Marriott,Sheffield Wednesday,"2,40 mln €",GB2,2020
Rekeem Harper,Birmingham City,"2,30 mln €",GB2,2020
Taylor Harwood-Bellis,Blackburn Rovers,"2,30 mln €",GB2,2020
Steven Sessegnon,Bristol City,"2,30 mln €",GB2,2020
Rodrigo Riquelme,AFC Bournemouth,"2,30 mln €",GB2,2020
Lewis Wing,Rotherham United,"2,20 mln €",GB2,2020
Barry Douglas,Blackburn Rovers,"2,00 mln €",GB2,2020
Jarrad Branthwaite,Blackburn Rovers,"2,00 mln €",GB2,2020
Stefan Johansen,Queens Park Rangers,"2,00 mln €",GB2,2020
Matt Clarke,Derby County,"2,00 mln €",GB2,2020
Scott Malone,FC Millwall,"2,00 mln €",GB2,2020
Izzy Brown,Sheffield Wednesday,"2,00 mln €",GB2,2020
Cameron Carter-Vickers,AFC Bournemouth,"2,00 mln €",GB2,2020
Sepp van den Berg,Preston North End,"1,80 mln €",GB2,2020
Sheyi Ojo,Cardiff City,"1,60 mln €",GB2,2020
Glenn Murray,FC Watford,"1,60 mln €",GB2,2020
Cyrus Christie,Nottingham Forest,"1,60 mln €",GB2,2020
Jordy de Wijs,Queens Park Rangers,"1,60 mln €",GB2,2020
Alfa Semedo,FC Reading,"1,60 mln €",GB2,2020
Marcus Bettinelli,FC Middlesbrough,"1,60 mln €",GB2,2020
Liam Lindsay,Preston North End,"1,50 mln €",GB2,2020
Winston Reid,FC Brentford,"1,50 mln €",GB2,2020
Beni Baningime,Derby County,"1,30 mln €",GB2,2020
Ryan Giles,Rotherham United,"1,30 mln €",GB2,2020
Matty James,Coventry City,"1,20 mln €",GB2,2020
Kasey Palmer,Swansea City,"1,20 mln €",GB2,2020
Neeskens Kebano,FC Middlesbrough,"1,20 mln €",GB2,2020
Florian Jozefzoon,Rotherham United,"1,20 mln €",GB2,2020
Cafú,Nottingham Forest,"1,20 mln €",GB2,2020
Matty James,FC Barnsley,"1,20 mln €",GB2,2020
Teden Mengi,Derby County,"1,00 mln €",GB2,2020
