name,loaning_club,player_value_in_moment_of_transfer,league,year
Scott High,Rotherham United,800 tys. €,GB2,2022
Charlie Goode,FC Blackpool,800 tys. €,GB2,2022
Bailey Wright,Rotherham United,700 tys. €,GB2,2022
Ellis Simms,AFC Sunderland,600 tys. €,GB2,2022
Luke Mbete,Huddersfield Town,600 tys. €,GB2,2022
Rarmani Edmonds-Green,Wigan Athletic,600 tys. €,GB2,2022
Dion Sanderson,Birmingham City,600 tys. €,GB2,2022
Lewis Fiorini,FC Blackpool,600 tys. €,GB2,2022
Callum Doyle,Coventry City,600 tys. €,GB2,2022
Nathan Broadhead,Wigan Athletic,500 tys. €,GB2,2022
Joseph Hungbo,Huddersfield Town,450 tys. €,GB2,2022
Brooke Norton-Cuffy,Rotherham United,400 tys. €,GB2,2022
Taylor Richards,Queens Park Rangers,400 tys. €,GB2,2022
Harvey Vale,Hull City,400 tys. €,GB2,2022
Fin Stevens,Swansea City,400 tys. €,GB2,2022
Matthew Lowton,Huddersfield Town,400 tys. €,GB2,2022
Harry Clarke,Stoke City,350 tys. €,GB2,2022
Matthew Sorinola,Swansea City,350 tys. €,GB2,2022
Jordan Smith,Huddersfield Town,300 tys. €,GB2,2022
Kaine Kesler-Hayden,Huddersfield Town,300 tys. €,GB2,2022
Xavier Simons,Hull City,300 tys. €,GB2,2022
Martyn Waghorn,Huddersfield Town,300 tys. €,GB2,2022
Emmanuel Longelo,Birmingham City,150 tys. €,GB2,2022
Tyrese Fornah,FC Reading,-,GB2,2022
Salah-Eddine Oulad M'Hand,Hull City,-,GB2,2022
Thomas Cannon,Preston North End,-,GB2,2022
Tayo Adaramola,Coventry City,-,GB2,2022
Armstrong Oko-Flex,Swansea City,-,GB2,2022
Shola Shoretire,Bolton Wanderers,"4,00 mln €",GB3,2022
Di'Shon Bernard,FC Portsmouth,"3,50 mln €",GB3,2022
Luke Mbete,Bolton Wanderers,"2,00 mln €",GB3,2022
Tom Edwards,FC Barnsley,"2,00 mln €",GB3,2022
Josh Koroma,FC Portsmouth,"2,00 mln €",GB3,2022
Steven Sessegnon,Charlton Athletic,"1,50 mln €",GB3,2022
Mark McGuinness,Sheffield Wednesday,"1,20 mln €",GB3,2022
Dan N'Lundulu,Cheltenham Town,"1,20 mln €",GB3,2022
Dan N'Lundulu,Bolton Wanderers,"1,20 mln €",GB3,2022
Myles Peart-Harris,Forest Green Rovers,"1,00 mln €",GB3,2022
Dynel Simeu,FC Morecambe,"1,00 mln €",GB3,2022
Lewis Bate,Oxford United,"1,00 mln €",GB3,2022
Louie Barry,Milton Keynes Dons,"1,00 mln €",GB3,2022
Conor Bradley,Bolton Wanderers,"1,00 mln €",GB3,2022
Sam Cosgrove,Plymouth Argyle,"1,00 mln €",GB3,2022
Morgan Whittaker,Plymouth Argyle,"1,00 mln €",GB3,2022
Tashan Oakley-Boothe,Lincoln City,900 tys. €,GB3,2022
George Hirst,Ipswich Town,800 tys. €,GB3,2022
Taylor Moore,Shrewsbury Town,800 tys. €,GB3,2022
Henry Lawrence,Milton Keynes Dons,800 tys. €,GB3,2022
Tyreece John-Jules,Ipswich Town,800 tys. €,GB3,2022
Rekeem Harper,Exeter City,800 tys. €,GB3,2022
Josh Martin,FC Barnsley,800 tys. €,GB3,2022
Slobodan Tedic,FC Barnsley,750 tys. €,GB3,2022
Gavin Kilkenny,Charlton Athletic,700 tys. €,GB3,2022
Alex Mighten,Sheffield Wednesday,600 tys. €,GB3,2022
Luke Plange,Lincoln City,600 tys. €,GB3,2022
Harvey White,Derby County,600 tys. €,GB3,2022
Aden Flint,Sheffield Wednesday,600 tys. €,GB3,2022
Jordon Garrick,Lincoln City,600 tys. €,GB3,2022
Matty Taylor,Port Vale FC,600 tys. €,GB3,2022
Reece James,Sheffield Wednesday,600 tys. €,GB3,2022
Charlie Savage,Forest Green Rovers,600 tys. €,GB3,2022
Nathanael Ogbeta,Peterborough United,500 tys. €,GB3,2022
Josh Coburn,Bristol Rovers,500 tys. €,GB3,2022
Jesurun Rak-Sakyi,Charlton Athletic,500 tys. €,GB3,2022
Liam McCarron,Port Vale FC,500 tys. €,GB3,2022
Haydon Roberts,Derby County,500 tys. €,GB3,2022
Josh Griffiths,FC Portsmouth,500 tys. €,GB3,2022
Lewis Gibson,Bristol Rovers,500 tys. €,GB3,2022
Jay Stansfield,Exeter City,500 tys. €,GB3,2022
Carl Winchester,Shrewsbury Town,500 tys. €,GB3,2022
Chem Campbell,Wycombe Wanderers,500 tys. €,GB3,2022
Luke Southwood,Cheltenham Town,500 tys. €,GB3,2022
Tyler Onyango,Forest Green Rovers,450 tys. €,GB3,2022
Anthony Stewart,Milton Keynes Dons,400 tys. €,GB3,2022
Max Watters,FC Barnsley,400 tys. €,GB3,2022
Owen Dale,FC Portsmouth,400 tys. €,GB3,2022
Owen Beck,Bolton Wanderers,400 tys. €,GB3,2022
Jay Matete,Plymouth Argyle,400 tys. €,GB3,2022
Jordan Amissah,Burton Albion,400 tys. €,GB3,2022
Charlie Kirk,Burton Albion,400 tys. €,GB3,2022
Admiral Muskwe,Fleetwood Town,400 tys. €,GB3,2022
Bali Mumba,Plymouth Argyle,400 tys. €,GB3,2022
Todd Kane,Charlton Athletic,400 tys. €,GB3,2022
Steve Seddon,Cambridge United,350 tys. €,GB3,2022
Dale Taylor,Burton Albion,350 tys. €,GB3,2022
Julien Da Costa,Shrewsbury Town,300 tys. €,GB3,2022
Liam Shaw,FC Morecambe,300 tys. €,GB3,2022
Lewis Dobbin,Derby County,300 tys. €,GB3,2022
Tyler Smith,Oxford United,300 tys. €,GB3,2022
Mipo Odubeko,Port Vale FC,300 tys. €,GB3,2022
Brandon Fleming,Oxford United,300 tys. €,GB3,2022
Elliot Thorpe,Burton Albion,300 tys. €,GB3,2022
Nigel Lonwijk,Plymouth Argyle,300 tys. €,GB3,2022
Matt Macey,FC Portsmouth,300 tys. €,GB3,2022
Lamare Bogarde,Bristol Rovers,300 tys. €,GB3,2022
Jamie Cumming,Milton Keynes Dons,300 tys. €,GB3,2022
Conor McGrandles,Cambridge United,300 tys. €,GB3,2022
Kyle Joseph,Oxford United,300 tys. €,GB3,2022
Glen Rea,Cheltenham Town,300 tys. €,GB3,2022
Jasper Moon,Burton Albion,300 tys. €,GB3,2022
Ellery Balcombe,Bristol Rovers,300 tys. €,GB3,2022
Brandon Cooper,Forest Green Rovers,300 tys. €,GB3,2022
Olamide Shodipo,Lincoln City,250 tys. €,GB3,2022
Matt Penney,Charlton Athletic,250 tys. €,GB3,2022
Oliver Casey,Forest Green Rovers,250 tys. €,GB3,2022
Harry Isted,FC Barnsley,250 tys. €,GB3,2022
Caleb Taylor,Cheltenham Town,250 tys. €,GB3,2022
Elkan Baggott,Cheltenham Town,250 tys. €,GB3,2022
Caleb Watts,FC Morecambe,250 tys. €,GB3,2022
Sam Lavelle,Burton Albion,250 tys. €,GB3,2022
Carlos Mendes,Fleetwood Town,250 tys. €,GB3,2022
Dane Scarlett,FC Portsmouth,250 tys. €,GB3,2022
Jahmari Clarke,Forest Green Rovers,250 tys. €,GB3,2022
Sylvester Jasper,Bristol Rovers,250 tys. €,GB3,2022
Christian Marques,Forest Green Rovers,200 tys. €,GB3,2022
Aaron Donnelly,Port Vale FC,200 tys. €,GB3,2022
Luke McGee,Derby County,200 tys. €,GB3,2022
Dennis Politic,Port Vale FC,200 tys. €,GB3,2022
Viljami Sinisalo,Burton Albion,200 tys. €,GB3,2022
Bryan Fiabema,Forest Green Rovers,200 tys. €,GB3,2022
Harvey Cartwright,Peterborough United,200 tys. €,GB3,2022
Kieran Phillips,FC Morecambe,200 tys. €,GB3,2022
Jakub Stolarczyk,Fleetwood Town,200 tys. €,GB3,2022
Tyler Onyango,Burton Albion,200 tys. €,GB3,2022
Gassan Ahadme,Burton Albion,200 tys. €,GB3,2022
Paris Maghoma,Milton Keynes Dons,200 tys. €,GB3,2022
Jack Stevens,Port Vale FC,200 tys. €,GB3,2022
Matty Virtue,Lincoln City,200 tys. €,GB3,2022
Daniel Butterworth,Port Vale FC,200 tys. €,GB3,2022
Will Norris,Peterborough United,200 tys. €,GB3,2022
Harvey Cartwright,Wycombe Wanderers,200 tys. €,GB3,2022
Bobby Thomas,Bristol Rovers,150 tys. €,GB3,2022
Bobby Thomas,FC Barnsley,150 tys. €,GB3,2022
Jensen Weir,FC Morecambe,150 tys. €,GB3,2022
Kgaogelo Chauke,Exeter City,150 tys. €,GB3,2022
Ateef Konaté,Oxford United,150 tys. €,GB3,2022
Joshua Kayode,Milton Keynes Dons,150 tys. €,GB3,2022
Aaron Pressley,Accrington Stanley,100 tys. €,GB3,2022
Corrie Ndaba,Fleetwood Town,100 tys. €,GB3,2022
Josh Austerfield,FC Morecambe,100 tys. €,GB3,2022
Jökull Andrésson,Exeter City,100 tys. €,GB3,2022
