name,loaning_club,player_value_in_moment_of_transfer,league,year,market_value_in_eur
Abdul-Rahman Baba,FC Reading,"2,20 mln €",GB2,2022,1800000.0
Abdul-Rahman Baba,FC Reading,"2,50 mln €",GB2,2021,1800000.0
Tariqe Fosu,Stoke City,"2,00 mln €",GB2,2022,2000000.0
Tariqe Fosu,Rotherham United,"2,00 mln €",GB2,2022,2000000.0
Ian Poveda,FC Blackpool,"2,00 mln €",GB2,2022,1000000.0
Ian Poveda,Blackburn Rovers,"1,50 mln €",GB2,2021,1000000.0
Álvaro Fernandez,Preston North End,"2,00 mln €",GB2,2022,2500000.0
Marc Albrighton,West Bromwich Albion,"2,00 mln €",GB2,2022,2000000.0
Matija Sarkic,Stoke City,"2,00 mln €",GB2,2022,2000000.0
Matija Sarkic,Birmingham City,100 tys. €,GB2,2021,2000000.0
Matija Sarkic,Shrewsbury Town,100 tys. €,GB3,2020,2000000.0
Charlie Patino,FC Blackpool,"2,00 mln €",GB2,2022,3500000.0
Will Smallbone,Stoke City,"2,00 mln €",GB2,2022,2200000.0
Karl Darlow,Hull City,"1,80 mln €",GB2,2022,1800000.0
Nathan Tella,FC Burnley,"1,80 mln €",GB2,2022,4500000.0
Domingos Quina,Rotherham United,"1,80 mln €",GB2,2022,1800000.0
Domingos Quina,FC Fulham,"3,00 mln €",GB2,2021,1800000.0
Domingos Quina,FC Barnsley,"2,50 mln €",GB2,2021,1800000.0
Ciaran Clark,Sheffield United,"1,80 mln €",GB2,2022,700000.0
Przemyslaw Placheta,Birmingham City,"1,80 mln €",GB2,2022,2000000.0
Danel Sinani,Wigan Athletic,"1,50 mln €",GB2,2022,1500000.0
Danel Sinani,Huddersfield Town,550 tys. €,GB2,2021,1500000.0
Gavin Kilkenny,Stoke City,"1,50 mln €",GB2,2022,700000.0
Gavin Kilkenny,Charlton Athletic,700 tys. €,GB3,2022,700000.0
Ashley Fletcher,Wigan Athletic,"1,20 mln €",GB2,2022,1000000.0
Anthony Knockaert,Huddersfield Town,"1,20 mln €",GB2,2022,1200000.0
Anthony Knockaert,Nottingham Forest,"5,00 mln €",GB2,2020,1200000.0
Grant Hall,Rotherham United,"1,00 mln €",GB2,2022,900000.0
Clinton Mola,Blackburn Rovers,"1,00 mln €",GB2,2022,800000.0
Cesare Casadei,FC Reading,"1,00 mln €",GB2,2022,1000000.0
Theo Corbeanu,FC Blackpool,"1,00 mln €",GB2,2022,1500000.0
Theo Corbeanu,Milton Keynes Dons,"1,00 mln €",GB3,2021,1500000.0
Theo Corbeanu,Sheffield Wednesday,500 tys. €,GB3,2021,1500000.0
Dujon Sterling,Stoke City,"1,00 mln €",GB2,2022,800000.0
Dujon Sterling,FC Blackpool,900 tys. €,GB2,2021,800000.0
Dujon Sterling,Wigan Athletic,-,GB2,2019,800000.0
Dujon Sterling,Coventry City,-,GB3,2018,800000.0
Conor Coventry,Rotherham United,"1,00 mln €",GB2,2022,1000000.0
Conor Coventry,Peterborough United,200 tys. €,GB2,2021,1000000.0
Conor Coventry,Milton Keynes Dons,300 tys. €,GB3,2021,1000000.0
Conor Coventry,Lincoln City,-,GB3,2019,1000000.0
Reda Khadra,Birmingham City,"1,00 mln €",GB2,2022,1000000.0
Reda Khadra,Sheffield United,"1,00 mln €",GB2,2022,1000000.0
Reda Khadra,Blackburn Rovers,150 tys. €,GB2,2021,1000000.0
Josh Wilson-Esbrand,Coventry City,"1,00 mln €",GB2,2022,1000000.0
Luke Cundle,Swansea City,800 tys. €,GB2,2022,1000000.0
Miguel Azeez,Wigan Athletic,800 tys. €,GB2,2022,800000.0
Miguel Azeez,FC Portsmouth,500 tys. €,GB3,2021,800000.0
George Hirst,Blackburn Rovers,800 tys. €,GB2,2022,800000.0
George Hirst,Ipswich Town,800 tys. €,GB3,2022,800000.0
